Backup registro.csv

CPF,Nome,Idade,DataNasc,Sexo,Vacina
86455319176,Gabriel Vieira,59,3021967,F,CORONAVAC
94256556001,Juliana Gomes,43,8061983,F,ASTRAZENECA
42089883715,Rodrigo Barbosa,54,8011972,M,ASTRAZENECA
61690530383,Matheus Barbosa,18,22032008,M,CORONAVAC
23192161116,Bruna Rocha,77,15051949,M,PFIZER
36464500880,Fernando Lima,23,23122002,F,ASTRAZENECA
94098673800,Jessica Alves,66,8091960,F,ASTRAZENECA
1673892892,Juliana Silva,65,2091961,M,ASTRAZENECA
50173844480,Beatriz Soares,39,29091987,F,CORONAVAC
87265645057,Amanda Rocha,42,2071984,M,ASTRAZENECA
27357432840,Juliana Soares,20,12102005,F,CORONAVAC
56807794983,Bruno Lima,63,13081963,F,CORONAVAC
64832050826,Amanda Santos,31,11121994,M,CORONAVAC
68208915394,Larissa Oliveira,53,2031973,M,ASTRAZENECA
69315597290,Bruna Costa,76,27051950,F,CORONAVAC
45740764106,Letícia Ferreira,77,21041949,F,PFIZER
22103020480,Thiago Dias,48,18071978,F,ASTRAZENECA
49482255410,Carlos Barbosa,27,25121998,F,ASTRAZENECA
92822474060,Marcelo Ribeiro,72,5051954,M,ASTRAZENECA
99776803881,Diego Lima,27,13121998,F,ASTRAZENECA
21772320315,Bruno Costa,35,14101990,M,ASTRAZENECA
8413320100,Bruno Rocha,32,21111993,M,CORONAVAC
67885348610,Letícia Costa,37,8061989,M,CORONAVAC
4818590479,João Alves,59,8011967,F,ASTRAZENECA
59177696050,Patricia Soares,53,11111972,F,CORONAVAC
20863300308,Juliana Lopes,44,23081982,F,ASTRAZENECA
43717127462,Maria Ribeiro,71,20031955,M,CORONAVAC
97564806966,Letícia Carvalho,68,26071958,F,CORONAVAC
12360290037,Leonardo Lopes,69,24061957,F,CORONAVAC
97121694212,Leonardo Dias,61,12051965,F,CORONAVAC
93091121151,Gabriel Fernandes,62,2061964,F,PFIZER
53528364360,Marcelo Lima,21,2052005,M,ASTRAZENECA
87954409252,Mariana Fernandes,63,23081963,F,PFIZER
10074793373,Beatriz Pereira,32,20081994,F,CORONAVAC
75191288220,Marcelo Costa,75,24081951,F,PFIZER
59735432692,João Fernandes,47,12021979,F,ASTRAZENECA
74331606988,Fernando Gomes,51,14061975,M,ASTRAZENECA
20922814295,Rodrigo Martins,25,5072001,F,CORONAVAC
55526589811,Vanessa Rodrigues,35,6071991,M,PFIZER
69785498000,Fernando Alves,33,1121992,M,PFIZER
15962046218,Matheus Soares,26,10092000,F,PFIZER
78075753283,Carlos Rodrigues,20,10102005,F,ASTRAZENECA
54567299469,Bruno Lopes,54,8041972,M,ASTRAZENECA
1805151525,Bruno Santos,79,10041947,F,PFIZER
92133552383,Lucas Souza,55,12091971,M,ASTRAZENECA
57468428425,Bruno Vieira,67,11061959,F,ASTRAZENECA
79106743412,Thiago Carvalho,45,8041981,M,PFIZER
39030235071,Diego Barbosa,46,24081980,M,ASTRAZENECA
499945816,Pedro Souza,45,15071981,F,PFIZER
27584984304,Maria Rodrigues,26,5032000,F,PFIZER

